日付,時間,年,月,日,時,分,秒,オーダーNo,ロット,生産数,不良数,不良[1],不良[2],不良[3],不良[4],不良[5],不良[6]
2023/05/28,01:31:45,2023,5,28,1,31,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:31:55,2023,5,28,1,31,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:05,2023,5,28,1,32,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:15,2023,5,28,1,32,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:25,2023,5,28,1,32,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:35,2023,5,28,1,32,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:45,2023,5,28,1,32,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:32:55,2023,5,28,1,32,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:05,2023,5,28,1,33,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:15,2023,5,28,1,33,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:25,2023,5,28,1,33,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:35,2023,5,28,1,33,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:45,2023,5,28,1,33,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:33:55,2023,5,28,1,33,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:05,2023,5,28,1,34,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:15,2023,5,28,1,34,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:25,2023,5,28,1,34,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:35,2023,5,28,1,34,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:45,2023,5,28,1,34,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:34:55,2023,5,28,1,34,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:35:05,2023,5,28,1,35,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:35:15,2023,5,28,1,35,13,650,0,3950,0,0,0,0,1025638400,15650,0
